article_url,article_caption,article_body
https://www.investopedia.com/terms/j/just-say-no-defense.asp,Just Say No Defense,A just say no defense is a strategy used by corporations to discourage hostile takeovers in which board members reject a takeover bid outright. The legality of a just say no defense may depend on whether the target company has a long-term strategy that it is pursuing which can include a merger with a firm other than the one making the takeover bid or if the takeover bid undervalues the company.
https://www.investopedia.com/terms/1/1-10net30.asp,1%/10 net 30,1%/10 net 30 is a way of providing cash discounts on purchases. It means that if the bill is paid within 10 days there is a 1% discount. Otherwise the total amount is due within 30 days.
https://www.investopedia.com/terms/1/10-k.asp,10-K,A 10-K is a comprehensive report filed annually by a publicly traded company about its financial performance and is required by the U.S. Securities and Exchange Commission (SEC). The report contains much more detail than a companys annual report which is sent to its shareholders before an annual meeting to elect company directors.
https://www.investopedia.com/terms/1/10k-wrap.asp,10-K Wrap,A 10-K wrap is a summary report of a companys annual performance that bundles the 10-K report required by the Securities and Exchange Commission (SEC) with additional commentary from the company covering such things as the corporate vision letter to shareholders and business overview among other topics. The 10-K wrap is often released instead of a traditional annual report and generally contains fewer images and comments from management.
https://www.investopedia.com/terms/1/10-yeartreasury.asp,10-Year Treasury Note,The 10-year Treasury note is a debt obligation issued by the United States government with a maturity of 10 years upon initial issuance. A 10-year Treasury note pays interest at a fixed rate once every six months and pays the face value to the holder at maturity. The U.S. government partially funds itself by issuing 10-year Treasury notes.
https://www.investopedia.com/terms/1/100-equities-strategy.asp,100% Equities Strategy,A 100% equities strategy is an investment strategy for an individual portfolio or pooled funds vehicle such as a mutual fund. Only equity securities are considered for investment whether they be listed stocks over-the-counter stocks or private equity shares.
https://www.investopedia.com/terms/1/100percentmortgage.asp,100% Mortgage,100% mortgage is a mortgage loan in which the borrower receives a loan amount equivalent to the total value of the property to be purchased. In this situation the borrower does not need to make a down payment to secure the loan.
https://www.investopedia.com/terms/1/1040.asp,1040 Form,Form 1040 is the standard Internal Revenue Service (IRS) form that taxpayers use to file their annual income tax returns. The form contains sections that require taxpayers to disclose their taxable income for the year in order to ascertain whether additional taxes are owed or whether the filer is due a tax refund.
https://www.investopedia.com/terms/1/1040a.asp,1040A Form,The 1040A Form is a simplified version of the 1040 form for individual income tax. To be eligible to use a 1040A form an individual must fulfill certain requirements such as not itemizing deductions not owning a business and having a taxable income less than $100000.
https://www.investopedia.com/terms/1/1040pc.asp,1040PC Form,The 1040PC form was a way for taxpayers in the US to filer their tax returns through a type of software created by the IRS in 1993. The “PC” in the form’s name stands for personal computer. The IRS created this software as personal computers were becoming commonplace in American homes.
https://www.investopedia.com/terms/1/cofi.asp,11th District Cost of Funds Index (COFI),The 11th District Cost of Funds Index (COFI) is a monthly weighted average of the interest rates paid on checking and savings accounts offered by financial institutions operating in Arizona California and Nevada. It is one of many indices used by mortgage lenders to adjust the interest rate on adjustable rate mortgages (ARM) and was launched in 1981. With an ARM mortgage the interest rate on a mortgage moves up and down along with some standard interest rate chosen by the lender and COFI is one of the most popular indices in the western states.
https://www.investopedia.com/terms/1/125_loan.asp,125% Loan,A 125% loan is a loan—usually a mortgage—with an initial loan amount equal to 125% of the initial property value. For example if your home is worth $300000 a 125% loan would let you borrow $350000.
https://www.investopedia.com/terms/1/12b-1fees.asp,12B-1 Fee,A 12b-1 fee is an annual marketing or distribution fee on a mutual fund. The 12b-1 fee is considered to be an operational expense and as such is included in a funds expense ratio. It is generally between 0.25% and 0.75% (the maximum allowed) of a funds net assets. The fee gets its name from a section of the Investment Company Act of 1940.
https://www.investopedia.com/terms/1/12b-1-fund.asp,12B-1 Fund,A 12b-1 fund is type of mutual fund that charges its holders a 12b-1 fee. A 12b-1 fee is a fee used to pay for a mutual fund’s distribution costs. It is often used as a commission to brokers for selling the fund. 12B-1 funds take a portion of investment assets held and use them to pay expense fees and distribution costs. These costs are included in the funds expense ratio and are described in the prospectus. 12b-1 fees are sometimes called a “level load.”
https://www.investopedia.com/terms/1/12b-1plan.asp,12B-1 Plan,A 12B-1 plan is a plan structured by mutual fund companies for the distribution of funds through intermediaries. 12B-1 plans provide mapping for the partnerships between distributors and intermediaries who help to ensure the sale of a fund. Sales commission schedules and 12B-1 distribution expenses are the primary components driving a 12B-1 plan.
https://www.investopedia.com/terms/1/130-30_strategy.asp,130-30 Strategy,The 130-30 strategy is a strategy that uses financial leverage by shorting poor performing stocks and purchasing alternate shares that are expected to have high returns. A 130-30 ratio implies shorting stocks up to 30% of the portfolio value and then using the funds to take a long position in the stocks the investor feels will outperform the market. Often investors will mimic an index such as the S&P 500 when choosing stocks for this strategy.
https://www.investopedia.com/terms/1/130-30-mutual-fund.asp,130/30 Mutual Fund,A mutual fund that has long positions and short positions in its portfolio. Specifically in a 130/30 mutual fund the fund is long 100\% of its assets and in addition it shorts 30\% of the value portfolio and uses the cash received in the short sale to invest long in more assets. So in total the fund is 130\% in the long portfolio and 30\% in the short portfolio hence 130/30.
https://www.investopedia.com/terms/1/18hour-city.asp,18-Hour City,An 18-hour city is a second-tier city with higher-than-average urban population growth and featuring a lower cost of living and lower cost of doing business than first-tier cities. In real estate investing 18-hour cities are seen as viable investment alternatives to the big six markets of Boston Chicago Los Angeles New York San Francisco and Washington D.C. — most of which are often dubbed 24-hour cities.
https://www.investopedia.com/terms/1/183-day-rule.asp,183-Day Rule,The 183-day rule is one of several criteria that comprise the Internal Revenue Code (IRC) 937 tests to establish whether an individual can be considered a bona fide resident of the United States for tax purposes. This substantial presence test rule applies to both U.S. citizens who travel abroad frequently as well as to U.S. residents.
https://www.investopedia.com/terms/f/1913-federal-reserve-act.asp,1913 Federal Reserve Act,The 1913 Federal Reserve Act is U.S. legislation that created the current Federal Reserve System. Congress developed the Federal Reserve Act to establish economic stability in the United States by introducing the Central Bank to oversee monetary policy.
https://www.investopedia.com/terms/1/1979-energy-crisis.asp,1979 Energy Crisis,The 1979 energy crisis the second of two oil-price shocks in the 70s resulted in a widespread panic about potential gasoline shortages and far higher prices for both crude oil and refined products. Oil output declined by only 7% or less but the short-term supply disruption led to panic buying and long lines at gas stations. 
https://www.investopedia.com/terms/s/19c3stock.asp,National Market System (NMS),The National Market System (NMS) is the system for equity trading and order fulfillment in the U.S. It consists of trading clearing depository and quote distribution functions. The NMS governs the activities of all formal U.S. stock exchanges and the Nasdaq market.
https://www.investopedia.com/terms/t/two-percent-rule.asp,2% Rule,The 2% rule is a money management strategy where an investor risks no more than 2% of available capital on a single trade. To implement the 2% rule the investor first calculates 2% of their available trading capital; this is referred to as the capital at risk. Brokerage fees for buying and selling shares are factored into the capital at risk to calculate the maximum permissible risk. The maximum permissible risk is then divided by the stop-loss amount to determine the number of shares that can be purchased.
https://www.investopedia.com/terms/1/2-1_buydown.asp,2-1 Buydown,A 2-1 buydown is a type of mortgage with a set of two initial temporary-start interest rates that increase in stair-step fashion until a permanent interest rate is reached. The initial interest rate reductions are either paid for by the borrower in order to help them qualify for a mortgage or might be paid for by a builder as incentive to purchase a home.
https://www.investopedia.com/terms/2/228arm.asp,2/28 Adjustable-Rate Mortgage (2/28 ARM),A 2/28 adjustable-rate mortgage (2/28 ARM) is a type of 30-year home loan that has an initial two-year fixed interest rate period. After this 2-year period the rate floats based on an index plus a margin. The initial teaser rate is below average for conventional mortgages but the adjustable rate can rise significantly. Since banks don’t make much money on the initial teaser rate 2/28 ARMS include hefty pre-payment penalties during the first two years.
https://www.investopedia.com/terms/1/2000-investor-limit.asp,2000 Investor Limit,This Securities & Exchange Commission (SEC) stipulation requires a company that exceeds 2000 individual investors with more than $10 million in assets to file its financials with the commission. According to SEC rules such a company has 120 days to file following its fiscal years end.
https://www.investopedia.com/terms/1/2011-debt-ceiling-crisis.asp,2011 U.S. Debt Ceiling Crisis,The 2011 U.S. Debt Ceiling Crisis was a contentious July 2011 debate regarding the maximum amount of borrowing that the United States government should be allowed to undertake.
https://www.investopedia.com/terms/1/25-percent-rule.asp,25% Rule,The 25% rule is the idea that a local governments long-term debt should not exceed 25% of its annual budget. Any debt beyond this threshold is considered excessive and poses a potential risk as the municipality may have trouble servicing the debt.
https://www.investopedia.com/terms/t/twenty-eight-thirty-six-rule.asp,28/36 Rule,The 28/36 rule is a common sense rule for calculating the amount of debt an individual or household should take on. The 28/36 rule states that a household should spend a maximum of 28% of its gross monthly income on total housing expenses and should spend no more than 36% on total debt service including housing and other debt such as car loans.
https://www.investopedia.com/terms/1/3-2-1_buydown.asp,3-2-1 Buy-Down Mortgage,A 3-2-1 buy-down mortgage refers to a type of mortgage which allows the borrower to lower the interest rate over the first three years through an up-front payment. In general 3-2-1 buy-down loans are only available on primary and secondary homes. Investment properties are not eligible. Nor are they available as part of an adjustable-rate mortgage (ARM) with an initial period of fewer than five years.
https://www.investopedia.com/terms/1/3_6_3_rule.asp,3-6-3 Rule,The 3-6-3 rule is slang that refers to an unofficial rule in the banking industry that alludes to the condition of being noncompetitive and simplistic.
https://www.investopedia.com/terms/1/327arm.asp,3/27 Adjustable-Rate Mortgage (3/27 ARM),A 3/27 adjustable-rate mortgage or 3/27 ARM is a 30-year mortgage frequently offered to subprime borrowers meaning people with lower credit scores or a history of loan delinquencies. The mortgages are designed as short-term financing vehicles that give borrowers time to repair their credit until they are able to refinance into a mortgage with more favorable terms.
https://www.investopedia.com/terms/1/30-yeartreasury.asp,30-Year Treasury,The 30-Year Treasury is a U.S. Treasury debt obligation that has a maturity of 30 years. The 30-year Treasury used to be the bellwether U.S. bond but now most consider the 10-year Treasury to be the benchmark.
https://www.investopedia.com/terms/1/341-meeting.asp,341 Meeting,A 341 meeting is related to bankruptcy filings and is creditors meeting that takes place when after individual files Chapter 7 bankruptcy. A 341 meeting which takes place about a month after an individual files for bankruptcy gets its name from section 341 of the bankruptcy code. A 341 meeting must include the individual filing bankruptcy and the Chapter 7 trustee and it is optional for creditors or their attorneys to attend the meeting. If the individual filing for bankruptcy has a bankruptcy attorney they would attend as well.
https://www.investopedia.com/terms/1/3c1.asp,3C1,3C1 refers to a portion of the Investment Company Act of 1940 that allows private funds to avoid the requirements of the Securities and Exchange Commission (SEC). 3C1 is shorthand for the 3(c)(1) exemption found in section 3 of the act. It reads in part:
https://www.investopedia.com/terms/1/3c7.asp,3C7,3C7 refers to a portion of the Investment Company Act of 1940 that allows private funds meeting specific criteria an exemption from some Securities and Exchange Commission (SEC) regulation. 3C7 is shorthand for the 3(c)(7) exemption. The exemption found in section 3 of the act reads in part: 
https://www.investopedia.com/terms/1/3d-printing.asp,3D Printing,3-D printing is an additive manufacturing process which creates a physical object from a digital design by laying down thin layers of material — in the form of liquid or powdered plastic metal or cement — which is fused together.
https://www.investopedia.com/terms/1/3p.asp,3P Oil Reserves,3P oil reserves are the total amount of reserves that a company estimates having access to calculated as the sum of all proved and unproved reserves. The oil industry breaks unproved reserves into two segments: those based on geological and engineering estimates from established sources (probable) and those that are less likely to be extracted due to financial or technical difficulties (possible). Therefore 3P refers to proved plus probable plus possible reserves.
https://www.investopedia.com/terms/1/401a-plan.asp,401(a) Plan,A 401(a) plan is an employer-sponsored money-purchase retirement plan that allows dollar- or percentage-based contributions from the employer the employee or both. The sponsoring employer establishes eligibility and the vesting schedule. The employee can withdraw funds from a 401(a) plan through a rollover to a different qualified retirement plan a lump-sum payment or an annuity.
https://www.investopedia.com/terms/1/401kplan.asp,401(k) Plan,A 401(k) plan is a qualified employer-sponsored retirement plan that eligible employees may make tax-deferred contributions form their salary or wages to on a post-tax and/or pretax basis. Employers offering a 401(k) plan may make matching or non-elective contributions to the plan on behalf of eligible employees and may also add a profit-sharing feature to the plan. Earnings in a 401(k) plan accrue on a tax-deferred basis.
https://www.investopedia.com/terms/1/403bplan.asp,403(b) Plan,A 403(b) plan is a retirement plan for specific employees of public schools tax-exempt organizations and certain ministers. These plans can invest in either annuities or mutual funds. A 403(b) plan is also another name for a tax-sheltered annuity plan and the features of a 403(b) plan are comparable to those found in a 401(k) plan.
https://www.investopedia.com/terms/1/408-k-plan.asp,408(k) Plan,A 408(k) plan is a retirement plan that an employer sets up for its employees to help them save. The 408(k) plan is a simplified version of the popular 401(k) plan but is intended for smaller companies (those with fewer than 25 employees). It is also available to self-employed individuals. Under the plan employees can contribute pretax dollars to the account and thus reduce their net incomes for the year. This results in a tax savings for the contributor.
https://www.investopedia.com/terms/1/412i.asp,412(i) Plan,A 412(i) plan is a defined-benefit pension plan that is designed for small business owners in the United States. This is a tax-qualified benefit plan so any amount that the owner contributes to the plan becomes available immediately as a tax deduction to the company. Guaranteed annuities or a combination of annuities and life insurance are the only things that can fund the plan.
https://www.investopedia.com/terms/s/section419ewelfarebenefitplan.asp,419(e) Welfare Benefit Plans,A 419(e) welfare benefit plan is a type of employer-sponsored employee welfare benefit plan. 419(e) welfare benefit plans qualify under paragraph (e) of Section 419 of the Internal Revenue Code. They provide a range of benefits to employees such as life health disability long-term care and post-retirement medical. These plans can be either target contribution or target benefit in design and are intended to provide additional financial stability for employees during their retirement years. The downside of 419(e) welfare benefit plans is that they are complex and typically require an actuary to setup and implement.
https://www.investopedia.com/terms/1/457plan.asp,457 Plan,457 plan refers to a non-qualified tax-advantaged deferred compensation retirement plan. Eligible employees are allowed to make salary deferral contributions to the 457 plan. Earnings grow on a tax-deferred basis and contributions are not taxed until the assets are distributed from the plan.
